0001 00629 1| |  2.03547742|  1.74731759|  -20.5|  -61.7| 18| 24| 1.4| 1.4|1987.94|1985.23| 4|0.3|0.9|0.4|0.9|10.681|0.044| 9.907|0.033|999|T|         |  2.03552472|  1.74746639|1.81|1.55| 19.7| 28.2| |-0.1
0001 00650 1| |  1.81805811|  0.12577238|   19.2|   -2.5| 81|100| 1.8| 2.2|1957.93|1936.59| 3|1.1|2.0|1.1|1.9|12.870|0.307|12.267|0.244|999| |         |  1.81801361|  0.12577833|1.83|1.54|100.7|156.0| | 0.0
0001 00655 1| |  0.33892555|  1.11610690|  -19.3|   -5.9| 50| 67| 1.7| 1.7|1981.96|1971.57| 4|1.1|1.5|1.1|1.6|13.290|0.388|11.772|0.172|999| |         |  0.33894944|  1.11613833|1.90|1.65| 82.1|128.3| |-0.2
0001 00659 1| |  1.30753774|  2.05588640|   -1.6|  -16.2| 39| 51| 1.5| 1.6|1975.97|1967.08| 5|1.3|0.9|1.3|0.9|12.529|0.234|11.350|0.108|999| |         |  1.30753194|  2.05591222|1.86|1.61| 60.1| 93.5| |-0.1
0001 00664 1| |  1.74431492|  1.77745662|   -1.5|   -8.5| 37| 54| 1.7| 1.8|1980.81|1972.62| 4|0.3|0.6|0.2|0.6|11.933|0.108|11.207|0.089|999| |         |  1.74432139|  1.77748722|1.88|1.65| 50.4| 79.2| | 0.0
0001 00665 1| |  1.18888808|  0.05650009|    7.6|    5.2|  7| 10| 1.0| 1.0|1990.71|1989.04|10|1.1|0.5|1.3|0.5| 9.321|0.020| 8.869|0.016|999|T|   383   |  1.18887000|  0.05648778|1.89|1.61|  7.3| 10.9| |-0.1
0001 00680 1| |  2.21767099|  0.69245417|    4.3|    4.2|  6|  7| 0.6| 0.6|1989.87|1989.04|25|1.2|1.1|1.3|1.2| 9.219|0.021| 7.497|0.012|999|T|   717AB |  2.21766000|  0.69244306|1.67|1.46|  5.5|  7.0|P|-0.2
0001 00703 1| |  2.20804455|  2.00125632|    2.5|  -34.0| 66| 75| 1.9| 1.9|1971.22|1963.58| 3|0.5|0.8|0.5|0.8|12.108|0.165|11.409|0.129|999| |         |  2.20803889|  2.00133583|1.65|1.59| 76.4| 92.3| |-0.2
0001 00704 1| |  0.28077012|  0.79866199|    2.7|    7.2| 63| 84| 1.7| 1.9|1972.06|1953.30| 3|0.2|0.6|0.2|0.6|12.253|0.173|12.171|0.214|999| |         |  0.28076389|  0.79864639|1.87|1.57| 70.5|111.8| |-0.2
0001 00733 1| |  1.78305345|  1.04648302|   37.5|   41.3| 19| 26| 1.3| 1.3|1987.67|1983.96| 8|1.3|0.8|1.3|0.8|10.838|0.046|10.210|0.038|999|T|         |  1.78296417|  1.04638750|1.78|1.60| 21.4| 30.9| | 0.0
